PRODUCT,UF,EXP,MODEL,PARAMETERS,GRANU,INFO,CLASS,MAPE,POCID,PBE,MASE1,RRMSE,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,context_length,num_samples,batch_size,lr,max_epochs,PARAMETERS_FINE_TUNING
etanolhidratado,ac,Exp0,ARIMA,Best,Est_Indiv,Exp0ARIMABestEst_Indiv,0-EST,0.37433,63.63636,41.07242,0.93729,0.676454003,442.7932157,433.8478749,442.7784131,502.2662659,581.4089887,630.3323667,624.2813973,603.8526425,551.1238604,594.3915525,482.6008268,415.1649192,,,,,,
etanolhidratado,al,Exp0,ARIMA,Best,Est_Indiv,Exp0ARIMABestEst_Indiv,0-EST,0.18066,45.45455,13.25229,0.59666,0.268918588,5375.941367,4964.491896,5035.277774,5153.282944,5025.411851,4972.221179,5240.961769,4751.17312,4622.958352,5165.710476,4985.565133,4819.107348,,,,,,
etanolhidratado,am,Exp0,ARIMA,Best,Est_Indiv,Exp0ARIMABestEst_Indiv,0-EST,0.31941,45.45455,32.35053,1.13633,1.082615197,10708.14308,11139.13507,11010.68617,10620.70179,10149.21957,10229.1365,10037.35463,9977.794267,9373.740157,9065.476319,7875.249538,9276.634548,,,,,,
etanolhidratado,ap,Exp0,ARIMA,Best,Est_Indiv,Exp0ARIMABestEst_Indiv,0-EST,0.43795,54.54545,32.9241,0.8731,0.110180843,37.16493077,28.91111618,30.26460836,32.65525694,53.23679562,38.16718333,39.37221305,29.07268895,15.22796015,33.74584152,15.1858123,12.06154648,,,,,,
etanolhidratado,ba,Exp0,ARIMA,Best,Est_Indiv,Exp0ARIMABestEst_Indiv,0-EST,0.15505,36.36364,13.97659,0.56613,0.407648995,33849.91073,33008.81109,34089.10304,37680.23376,37081.32601,39626.99579,39230.96281,37261.65194,36234.74112,40602.00283,40047.67208,35825.79118,,,,,,
etanolhidratado,ce,Exp0,ARIMA,Best,Est_Indiv,Exp0ARIMABestEst_Indiv,0-EST,0.31507,72.72727,35.32429,0.96182,0.584505823,10282.58582,9292.116118,8649.243166,8956.129931,9914.722734,10120.10315,8448.950227,7803.947652,7411.430146,9331.214052,9695.701374,9281.75078,,,,,,
etanolhidratado,df,Exp0,ARIMA,Best,Est_Indiv,Exp0ARIMABestEst_Indiv,0-EST,0.5378,90.90909,60.31261,0.97653,1.071032866,8070.04848,7039.317469,7598.296373,8263.197953,7277.153327,8022.828408,8460.513982,9011.826469,8508.706254,9084.377486,5599.103654,6084.598757,,,,,,
etanolhidratado,es,Exp0,ARIMA,Best,Est_Indiv,Exp0ARIMABestEst_Indiv,0-EST,0.3635,45.45455,50.95645,0.88135,0.809945569,3583.880989,3000.215151,3454.475395,3671.710436,4075.183129,3796.264036,3616.955272,3878.068369,3405.806975,4401.504422,4058.772371,3144.387751,,,,,,
etanolhidratado,go,Exp0,ARIMA,Best,Est_Indiv,Exp0ARIMABestEst_Indiv,0-EST,0.16526,45.45455,11.24781,0.76576,0.470217955,97884.37674,102213.776,110700.2513,116348.3428,117560.62,113965.5008,112395.5546,109892.1305,103664.4288,109052.1594,98539.90217,97306.94573,,,,,,
etanolhidratado,ma,Exp0,ARIMA,Best,Est_Indiv,Exp0ARIMABestEst_Indiv,0-EST,0.24095,45.45455,26.26888,0.58975,0.380728454,2990.323043,3043.714312,2578.088842,2768.514272,3003.797568,2942.146088,2827.411224,3117.493841,2988.099163,3595.986486,3002.741983,2416.256276,,,,,,
