timestamp,F_0,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_40,F_41
199211,0.8845908796601222,12.0,-5.6542379970214345,0.25889230473970726,0.0,0.0,0.0,0.0,1.0,12.0,0.0,3.733853793807953e-69,-1.7588846535769662e-17,1.1045355750769546e-17,-0.31194792096418467,0.35922580848638325,1.0,3.0,9.0,0.0,0.4715478593567525,0.49805951714202845,0.0,0.5405093905226489,0.0,1.4901214650843104e-08,2.8919833528018967e-10,0.0,0.0,0.0,0.0,2.0,0.5343850907214364,5.0,0.0,0.4034559184007806,0.4798441497452003,-0.06157562831248713,0.7989032257185898,-0.17604115015676627,0.67044366349437,0.0
199212,0.8343766772723333,12.0,-4.912833669832641,0.26177968561651077,0.0,0.0,0.0,0.0,1.0,12.0,0.0,5.008842659661231e-69,-1.439294005325744e-16,1.3354234989504082e-17,0.5282015856302543,0.7849375072129581,1.0,2.0,8.0,0.0,0.48869637123463927,0.6345383138567784,0.0,1.4221398776667664,0.0,1.4901161193847656e-08,2.8746122572794534e-10,0.0,0.0,0.0,0.0,2.0,0.5264811445511105,5.0,0.0,0.3559032732109935,0.49488961992873504,-0.07955711400927462,0.8144071054846637,-0.21720307262688396,0.7993915060068995,0.0
199301,0.7290314206520129,12.0,-6.8324312233031,0.1709078728777672,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.66073736509742e-68,7.223031361760753e-17,-2.068668004637845e-18,-0.3230767735298589,0.34574374569015903,1.0,1.0,7.0,0.0,0.473643526664545,0.8318283898347136,0.0,3.2345283306649555,0.0,1.4901195405411513e-08,2.852576878670144e-10,0.0,0.0,0.0,0.0,2.0,0.5287434632759143,6.0,0.0,0.1621175072314305,0.6664530905047332,-0.07001634032556021,0.8963120726103478,-0.23204984890015629,0.7342647709895802,0.0
199302,0.702341291514985,12.0,-9.508662593552794,0.23993715932109785,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.589991029765079e-68,-4.1118173616048065e-18,7.023091206669867e-18,-0.01177927401189978,0.38138805648353524,1.0,12.0,6.0,0.0,0.5228335354756047,0.6632065651433671,0.0,1.8425214515538553,0.0,1.490116215750696e-08,2.8927068175268193e-10,0.0,0.0,0.0,0.0,2.0,0.5896751004675822,6.0,0.0,0.08792500955625625,0.5604836526593544,-0.13356630547970264,0.8589815573240555,-0.2200246666202892,0.820528740104169,0.0
199303,0.7011572705217427,12.0,-6.882705216649333,0.4034365940364963,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.3030030193264496e-68,-2.1098532179766365e-17,-1.6446344790161948e-17,-0.23733039281325555,0.257993234284015,1.0,11.0,5.0,0.0,0.8249738087339855,0.9539751719242907,0.0,0.5168510915760619,0.0,1.490122373858246e-08,2.945494906267711e-10,0.0,0.0,0.0,0.0,2.0,0.557900183908533,5.0,0.0,0.2709447960795794,0.5465781874769529,-0.1739259885091448,0.776950096541316,-0.30301678879015154,0.5876935330532492,0.0
199304,0.7170541490225363,12.0,-7.704029357780541,0.33322924663627423,0.0,0.0,0.0,0.0,1.0,12.0,0.0,7.79525427493595e-69,2.9640614303972714e-17,-2.0295660729446044e-18,-0.22022966525118895,0.42541027011581545,1.0,10.0,4.0,0.0,0.6147229028294159,0.5415369190700202,0.0,1.232443344942684,0.0,1.49013152255231e-08,2.944852063025983e-10,0.0,0.0,0.0,0.0,2.0,0.6932965219716273,5.0,0.0,0.24629694465496946,0.35062923733700163,-0.14988458292376614,0.7452389117618421,-0.14523117955232392,0.641057212286265,0.0
199305,0.7339734368436738,12.0,-8.507510692655872,0.1967628802982487,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.2630521153350907e-69,1.633943574923964e-18,-2.6205579922732664e-18,-0.3556396616951419,0.4776874488716384,1.0,9.0,3.0,0.0,0.41312086807453263,0.4423025382803752,0.0,0.5041528760188819,0.0,1.4901491036826077e-08,2.9156569755604254e-10,0.0,0.0,0.0,0.0,2.0,0.6878009385876297,5.0,0.0,0.2928241200066371,0.5223924386050998,0.14120686941617266,0.6534863666187021,0.15058331820944185,0.5526320191582031,0.0
199306,0.7859225993605373,12.0,-4.6962673641533845,0.22159247068295326,0.0,0.0,0.0,0.0,1.0,12.0,0.0,6.617279109082774e-68,1.7495626550249335e-16,-1.2134908440456598e-17,-0.05085938159463866,0.24770542178535954,1.0,8.0,2.0,0.0,0.35351424568850515,0.5691311490298454,0.0,0.004244260330484795,0.0,0.9999999850988388,0.0,0.0,0.0,0.0,0.0,2.0,0.5894414517223698,4.0,0.0,0.4633806096281543,0.6098622014215231,0.0933236885827803,0.45244011187928435,-0.09045298211798462,0.5374204213702817,0.0
199307,0.7399555236205516,12.0,-8.917939060617389,0.1554582101345601,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.0130806242742633e-67,-1.5205425765984964e-17,-2.3609070038417475e-17,0.05627638262846208,0.4742102276019121,1.0,7.0,1.0,0.0,0.4869396091821965,0.4968276812236594,0.0,0.9865668483563143,0.0,1.4901161193847656e-08,2.846607708106945e-10,0.0,0.0,0.0,0.0,2.0,0.7175689107841252,5.0,0.0,0.22871283020390845,0.35269061295873005,0.17982411941453255,0.5150543260130366,0.001908205567465273,0.3920054969013152,0.0
199308,0.7642036526862578,12.0,-7.537453643207379,0.1741325639963389,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.3428438698560199e-68,-7.366476119548029e-17,7.562772157660658e-18,-0.2792354071566663,0.33379626110432475,1.0,6.0,9.0,0.0,0.46163156002062833,0.6529104970200147,0.0,1.5290852089435896,0.0,1.4901161193847656e-08,2.8960435810609786e-10,0.0,0.0,0.0,0.0,2.0,0.7289120722808089,6.0,0.0,0.30618256316586095,0.2745097656306151,-0.05217612998034998,0.37185061770489025,-0.1148008990863875,0.46939923429842306,0.0
