timestamp;m3
199001;3045.873
199002;2000.092
199003;2269.332
199004;1427.205
199005;1798.599
199006;2492.736
199007;2794.825
199008;2566.461
199009;2648.069
199010;2310.102
199011;3851.261
199012;2794.228
199101;2728.316
199102;2207.044
199103;2108.247
199104;2155.502
199105;1729.882
199106;2351.599
199107;2868.629
199108;3248.432
199109;2262.168
199110;2641.085
199111;1303.33
199112;2590.64
199201;2379.96
199202;2048.98
199203;2087.3
199204;2242.92
199205;2091.38
199206;2422.56
199207;2849.56
199208;2395.414
199209;2385.013
199210;2377.627
199211;2331.857
199212;2501.545
199301;2427.041
199302;2466.728
199303;3077.294
199304;2760.454
199305;2756.194
199306;2569.93
199307;2755.932
199308;2464.136
199309;2065.726
199310;2333.148
199311;2197.813
199312;2656.07
199401;2513.81
199402;2194.34
199403;2384.519
199404;2082.33
199405;2103.482
199406;2187.64
199407;2381.05
199408;2691.49
199409;2599.12
199410;2284.427
199411;2263.26
199412;2508.11
199501;2652.67
199502;2033.38
199503;2277.26
199504;2076.57
199505;2229.488
199506;2163.408
199507;2656.08
199508;2238.468
199509;2148.233
199510;2261.401
199511;2146.362
199512;2490.066
199601;2488.45
199602;2216.611
199603;2253.973
199604;2313.47
199605;2347.772
199606;2308.389
199607;2393.1235
199608;2477.858
199609;2383.026
199610;2517.038
199611;2491.887
199612;2988.517
199701;2547.35
199702;2106.183
199703;1761.534
199704;2004.533
199705;1819.204
199706;1843.373
199707;2411.597
199708;1812.966
199709;1793.304
199710;1780.5
199711;1492.409
199712;1951.622
199801;1782.093
199802;1396.073
199803;1604.785
199804;1605.4
199805;1481.918
199806;1504.242
199807;1832.585
199808;1548.521
199809;1494.354
199810;1532.241
199811;1183.011
199812;1609.25
199901;1379.85
199902;674.5
199903;983.73
199904;828.23
199905;1053.6
199906;902.15
199907;1170.15
199908;1477.08
199909;1116.68
199910;1096.55
199911;796.65
199912;1243.99
200001;1374.65
200002;1199.8
200003;1278.05
200004;1323.16
200005;1376.554
200006;1233.5
200007;1582.44
200008;1543.05
200009;1428.3
200010;1025.322
200011;973.149
200012;1144.23
200101;1193.669
200102;1026.39
200103;1037.703
200104;1043.77
200105;1068.284
200106;1038.428
200107;1189.329
200108;1127.399
200109;943.545
200110;982.729
200111;883.701
200112;1016.819
200201;936.554
200202;734.25
200203;902.3
200204;1013.093
200205;1027.645
200206;991.944
200207;1337.545
200208;1187.25
200209;1176.159
200210;1374.103
200211;1048.982
200212;1314.953
200301;1167.107
200302;1026.895
200303;934.954
200304;758.65
200305;904.265
200306;874.592
200307;1172.403
200308;991.7
200309;1032.05
200310;1049.7
200311;1015.1
200312;1243.45
200401;1083.55
200402;1134.2
200403;1135.0
200404;1040.6
200405;994.45
200406;1109.85
200407;1220.85
200408;1045.4
200409;999.75
200410;1047.1
200411;1078.18
200412;1203.45
200501;1031.62
200502;817.28
200503;941.49
200504;1035.1
200505;944.09
200506;1042.29
200507;1094.6
200508;1069.73
200509;1243.74
200510;1237.54
200511;1367.14
200512;1775.59
200601;1561.38
200602;1186.55
200603;750.9
200604;669.35
200605;929.2
200606;844.25
200607;1206.15
200608;1215.85
200609;1289.95
200610;1380.75
200611;1379.37
200612;1747.45
200701;1771.452418
200702;1422.108559
200703;1546.150654
200704;1539.883441
200705;1760.788384
200706;2070.249741
200707;3137.710567
200708;3268.791493
200709;3487.350128
200710;3929.71281
200711;3792.280201
200712;4030.752754
200801;3558.313559
200802;3615.217675
200803;3543.445633
200804;3919.388602
200805;4189.402724
200806;4439.297678
200807;5852.567035
200808;4879.717733
200809;5543.303359
200810;5556.021888
200811;4643.242367
200812;6041.268272
200901;4826.25
200902;4114.95
200903;5399.3
200904;5345.02
200905;5322.84
200906;5724.261972
200907;6761.33
200908;6028.75
200909;6718.42
200910;6783.48
200911;5677.73
200912;7006.82
201001;3071.64
201002;2319.44
201003;2997.141161
201004;3908.325967
201005;4867.07
201006;5392.25
201007;6803.02
201008;6866.3
201009;6569.29
201010;5967.12
201011;5308.975806
201012;6389.255806
201101;4432.664173
201102;3216.934227
201103;1820.0
201104;1278.892248
201105;2840.95
201106;3730.290162
201107;4294.234227
201108;3778.35
201109;3489.1
201110;3525.78
201111;2603.25
201112;2462.4
201201;2353.7
201202;2061.15
201203;2092.2
201204;1931.2
201205;2272.5
201206;2276.35
201207;2627.6
201208;2448.75
201209;2308.95
201210;2769.15
201211;2505.684381
201212;2234.867191
201301;2800.65
201302;3052.35
201303;3002.25
201304;2661.65
201305;2503.5
201306;2584.6
201307;3523.25
201308;2905.65
201309;3050.95
201310;3211.25
201311;2965.7
201312;3510.5
201401;3303.6
201402;2785.088252
201403;2515.5
201404;2471.1
201405;2525.35
201406;2545.82
201407;3381.02
201408;2835.1
201409;2927.6
201410;2981.001
201411;2926.6
201412;4088.4
201501;3704.0
