timestamp,TMP__abs_diff_mean__w=365D_6h,TMP__diff_std__w=365D_6h,TMP__entropy__w=365D_6h,TMP__kurtosis__w=365D_6h,TMP__max__w=365D_6h,TMP__mean__w=365D_6h,TMP__mediam__w=365D_6h,TMP__median_abs_deviation__w=365D_6h,TMP__min__w=365D_6h,TMP__skew__w=365D_6h,TMP__slope__w=365D_6h,TMP__std__w=365D_6h,TMP__sum__w=365D_6h,TMP__var__w=365D_6h
1991-01-01,55650.614749999986,69409.31222063043,2.5567864835463454,-0.11916380138349192,485676.1,372779.7612307692,358194.201,23511.47200000001,311288.326,0.8780522726351144,-0.14412475659875043,48382.47079866909,4846136.896,2340863480.5840673
1991-02-01,50035.08245454545,63289.234230220995,2.47693663850234,0.6070019185493152,485676.1,368118.92500000005,352356.22,19575.493000000017,311288.326,1.1662546595576058,0.1787210452601426,47471.373589656556,4417427.100000001,2253531310.488742
1991-03-01,49120.888363636375,60946.06902685052,2.475506139643284,0.3097638784701715,485676.1,365288.8913333334,352356.22,19575.493000000017,291416.502,0.8718280446764826,-0.25440791109851846,50881.64850208806,4383466.696,2588942154.2900395
1991-04-01,49940.03681818182,62541.5763699886,2.4758816439626488,0.6639844742032599,485676.1,363899.02008333337,352356.22,19575.493000000017,291416.502,0.960169072118886,0.1884352239759585,49735.29405862876,4366788.241,2473599475.098273
1991-05-01,54186.94790909091,65136.80804239177,2.475970998763794,0.690922899106476,485676.1,364275.22699999996,352356.22,18315.958000000013,291416.502,0.9561654603603923,-0.021127392950880147,49529.52232370211,4371302.723999999,2453173581.6141057
1991-06-01,55389.18781818182,65355.14450347859,2.4752044910229842,0.4723889687356082,485676.1,361590.09133333334,352071.3605,29768.552000000025,291416.502,0.945955118266378,-0.12255248654904947,51262.49032449857,4339081.095999999,2627842914.2693095
1991-07-01,59473.74890909092,68021.58993810839,2.4751617590850814,0.28381097898525587,485676.1,363425.5066666666,356435.3105,32548.65399999998,291416.502,0.8298396776489042,0.12757163848939015,51501.78074394378,4361106.079999999,2652433419.797259
1991-08-01,60006.61054545455,68298.22768394463,2.474721753786144,-0.36694038136215346,485676.1,370551.405,370377.90800000005,40227.369000000006,291416.502,0.47120610865942636,0.13075028291656357,53265.94754543327,4446616.859999999,2837261167.9128485
1991-09-01,65750.10090909094,73252.1958500719,2.4741922933427913,-0.41030762843803714,485676.1,367036.01125,356435.3105,41726.066500000015,291416.502,0.6082273312850847,-0.04133427135343729,54315.02434121385,4404432.135,2950121869.186653
1991-10-01,57607.803363636376,61092.37226438331,2.4743846444764834,-0.4818020964839045,485676.1,370024.57600000006,373570.64300000004,44001.48000000001,291416.502,0.4575532387352007,-0.21385611315854325,54058.54155514792,4440294.9120000005,2922325915.0696545
1991-11-01,65918.79591666668,71359.36693995731,2.548259629288413,-0.1708896366590289,485676.1,358828.1919230769,366922.101,52625.49000000005,224471.583,-0.10258328192672096,-0.5378162874393037,64821.59987755756,4664766.495,4201839810.68617
1991-12-01,73932.50854545458,85028.76769026968,2.473026943638266,0.06408003823119435,422712.579,343741.3391666667,352327.4185,33757.34300000002,224471.583,-0.6808394219029746,-0.003991244997259035,51757.92055217795,4124896.07,2678882339.885565
1992-01-01,72324.99183333335,82791.12801971902,2.553562050661629,0.010970894260263986,422712.579,341208.56823076925,339197.212,30203.570999999996,224471.583,-0.5475175199940501,-0.15291197735728662,50495.481094365234,4435711.387,2549793610.9513965
1992-02-01,72035.84572727275,83546.10900762441,2.472744685703309,-0.18258125257162394,422712.579,339065.77383333334,335423.101,37020.56150000001,224471.583,-0.42992003881916635,0.06656731814041197,51986.4023575217,4068789.286,2702586030.078138
1992-03-01,63187.32700000002,78526.930874709,2.473039262970203,-0.06980406062483446,422712.579,339686.51341666665,335423.101,31820.42199999999,224471.583,-0.45124421166642925,-0.2411873436362127,51421.18866289586,4076238.161000001,2644138643.50513
1992-04-01,60778.07927272727,77614.56262344438,2.474134981913238,0.3459971771736048,422712.579,334363.0004166667,332757.789,28828.27999999997,224471.583,-0.3556384619578628,-0.01571541218917805,48349.62525334859,4012356.005,2337686262.1392436
1992-05-01,61105.46827272729,77724.37986678278,2.4737624582531583,0.12747541794853,422712.579,331543.62508333335,322972.8005,19382.05600000001,224471.583,-0.1868025214635188,-0.02841870604834486,48967.99973782069,3978523.501,2397864998.3232074
1992-06-01,56594.67381818182,75116.57659059174,2.473862063859224,0.18154983747440445,422712.579,332157.95275,326658.7665,23068.022000000026,224471.583,-0.22359501393961745,-0.15399181395857234,48793.70600587742,3985895.433,2380825745.787998
1992-07-01,53745.00181818183,73832.14426828359,2.474643924910015,0.6511983653845381,422712.579,328207.64941666665,326658.7665,20955.294000000024,224471.583,-0.09296357338652675,-0.2126670424917732,46612.94578273531,3938491.793,2172766714.544222
1992-08-01,50013.1431,72391.30277537563,2.3902978037526217,1.190970839309589,381811.297,319616.2921818182,321668.543,15626.305999999982,224471.583,-0.8410009978894348,0.003517438723392443,38529.9095726887,3515779.214,1484553931.6795683
1992-09-01,46352.74818181818,69080.64223069791,2.4779441327608724,1.5935821867534132,381811.297,319903.83,322367.6445,13938.867499999993,224471.583,-0.9008252734578932,-0.02587749174209759,36901.90458506629,3838845.96,1361750562.0053365
1992-10-01,31838.52079999999,49801.8907579754,2.3920489372858103,2.274733917810848,365457.625,312040.49272727274,310815.317,10853.226000000024,224471.583,-1.2826156690268675,0.3679225802047289,32829.229153138345,3432445.4199999995,1077758286.7892687
1992-11-01,30653.719636363632,47580.94319217075,2.4794936942187515,2.7885763500183742,365457.625,313192.5729166667,316241.93,10538.45749999999,224471.583,-1.4127595493917693,0.4517002582015025,31662.995319682403,3758310.8749999995,1002545272.6142298
1992-12-01,15018.530300000002,17451.05426609112,2.3973102334829237,-1.3606890375473835,333866.588,316874.9440909091,317242.718,10182.97100000002,301816.781,0.18879514715503157,0.0206791642768365,10849.125617830767,3485624.385,117703526.67147183
1993-01-01,16213.940090909093,18424.6831150349,2.484076487871308,-0.8771488910155942,345410.756,319252.92841666663,319455.63049999997,12877.899000000005,301816.781,0.4194183412022373,0.11130545088291133,13042.154861750609,3831035.141,170097803.43788502
1993-02-01,20690.671000000006,24713.857013654953,2.483786096875803,-0.8612247318040529,345410.756,317634.455,319455.63049999997,13386.65399999998,291393.636,0.08266454955422267,-0.04786463837016073,15040.742042831023,3811613.46,226223921.19898477
1993-03-01,27317.197363636365,35499.703265925666,2.4823407060727933,-0.08955149590417166,358728.675,319413.3955,322367.6445,13403.420500000007,270477.629,-0.4235611067848867,0.07446713116437995,22738.796379811254,3832960.746,517052860.8025174
1993-04-01,29263.49466666667,37003.29317904923,2.562528702477304,-0.019354509502901962,358728.675,318539.74276923074,321668.543,13612.63300000003,270477.629,-0.3200703001208487,-0.07730835887057981,22055.35746582845,4141016.656,486438792.94547474
1993-05-01,28445.101636363637,37473.0095014633,2.482442438746957,0.07344093855757716,358728.675,318031.7639166667,319455.63049999997,11897.801999999996,270477.629,-0.28069764130001734,-0.02198765205337481,22225.489686335313,3816381.1670000004,493972391.7973974
1993-06-01,28445.101636363637,37473.0095014633,2.482442438746957,0.07344093855757716,358728.675,318031.7639166667,319455.63049999997,11897.801999999996,270477.629,-0.28069764130001734,-0.02198765205337481,22225.489686335313,3816381.1670000004,493972391.7973974
1993-07-01,30179.21666666667,37966.598170946774,2.56229385431352,-0.41109348614412644,358728.675,316729.22746153845,317242.718,15345.48999999999,270477.629,-0.18093891078726781,-0.12810825888556374,23005.09355408899,4117479.9570000004,529234329.4323868
1993-08-01,32036.527363636367,39606.78736207108,2.482132788682136,-0.45017867960931834,358728.675,315388.701,315919.26249999995,13307.569000000047,270477.629,-0.04025739090594502,-0.101798224073486,23451.56806474391,3784664.4120000005,549976044.6953164
1993-09-01,33497.693909090915,40570.80300401931,2.4821370871092086,-0.44180013600340073,358728.675,315321.3851666667,315919.26249999995,13307.569000000047,270477.629,-0.032578236351858754,0.04949919078777862,23430.582202237645,3783856.6220000004,548992182.3358155
1993-10-01,33435.62309090909,40517.95741672599,2.4821110204712973,-0.4827748992348275,358728.675,315077.74183333333,315919.26249999995,14226.090499999991,270477.629,-0.006446033359064902,-0.06668220784556625,23530.213583219174,3780932.902,553670951.2719122
1993-11-01,33542.959727272726,40589.342380553666,2.4821550727292823,-0.3792134748656344,358728.675,314083.9095,314267.637,14226.090499999991,270477.629,0.11310387212337228,-0.010412377692464447,23304.36278362832,3769006.914,543093324.7509607
1993-12-01,31578.370999999996,39676.61363100184,2.4821447761114332,-0.40742065299732566,358728.675,314355.1020833333,314267.637,14226.090499999991,270477.629,0.07900728952080778,-0.07212782626838643,23358.416367885606,3772261.2249999996,545615615.2155062
