timestamp,F_0,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_40,F_41
199201,0.6286365927230667,12.0,-9.819821552430547,0.35886322076362476,0.0,0.0,0.0,0.0,1.0,12.0,0.0,5.71955205169971e-68,-1.7727363309444264e-16,8.275511557940116e-18,-0.5370169241711583,0.4649039179111821,1.0,10.0,2.0,0.0,0.4149402964655875,0.45414290592481965,0.0,0.7236346569914538,0.0,1.4901179126458075e-08,2.9242496971489284e-10,0.0,0.0,0.0,0.0,3.0,0.803854067502759,4.0,0.0,0.1261442665003546,0.209229468394237,-0.5052338617788273,0.5844824175281927,-0.4905787839991813,0.5508750327514355,0.0
199202,0.6922671825456438,12.0,-5.486845454781364,0.4744726164297377,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.9841176319170632e-68,-3.2200108632760617e-16,1.0624208977235803e-17,-0.0276810254002235,0.3586654776698595,1.0,12.0,1.0,0.0,0.19075417726339783,0.2883820517958432,0.0,2.168764177060273,0.0,1.4901185689679754e-08,2.938971930477334e-10,0.0,0.0,0.0,0.0,3.0,0.7734636372684557,3.0,0.0,0.3005373031751534,0.35116107926936585,-0.27108185929521056,0.2812107320157765,-0.4581093462590095,0.3491871692203475,0.0
199203,0.8398413844984678,12.0,-12.582242773850563,0.15026916627329248,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.722853815220743e-67,-1.1722840896703395e-17,-1.1834538714693766e-17,-0.43672401989930554,0.44053067743952495,1.0,11.0,12.0,0.0,0.220260689075741,0.3107026321199905,0.0,10.70971045773858,0.0,1.4901740202630146e-08,2.9157670973310637e-10,0.0,0.0,0.0,0.0,3.0,0.8280016979352087,3.0,0.0,-0.0811678376685471,0.20744551463251817,-0.2197588852904328,0.3060464144381585,-0.2403371613276082,0.4310736453067843,0.0
199204,0.8610928487073711,12.0,-16.00876828401381,0.2897580966448456,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0662381693151266e-69,-1.4256131117891264e-16,-6.6032269129693886e-18,0.16918411556812588,0.44382683553485797,1.0,10.0,11.0,0.0,0.6513762437770884,0.420021263118897,0.0,10.456937726828231,0.0,1.4901161193847656e-08,2.953734147849217e-10,0.0,0.0,0.0,0.0,3.0,0.8123978623781466,4.0,0.0,-0.30392362409221285,0.27357639929137656,-0.563633200120078,0.5167123034196585,-0.48222653517403735,0.45498877173453167,0.0
199205,0.7749783971827316,12.0,-11.537422705038416,0.40833664652572477,0.0,0.0,0.0,0.0,1.0,12.0,0.0,9.809860383894613e-71,-1.0610447349646964e-18,-1.2706634440857476e-18,-0.13930204978876298,0.07363307458881937,1.0,9.0,10.0,0.0,0.7532364623214582,1.1156315725778017,0.0,8.596271179417041,0.0,1.4901271119414793e-08,2.952359425657885e-10,0.0,0.0,0.0,0.0,3.0,0.8115609160255892,3.0,0.0,-0.12925650265449923,0.20246913464851313,-0.5800644427898347,0.5519542020930819,-0.6850606163253831,0.7060038761410945,0.0
199206,0.682939202113693,12.0,-12.034229796382766,0.2983163335884355,0.0,0.0,0.0,0.0,1.0,12.0,0.0,7.502357242040242e-69,2.869091484173349e-16,7.430860717626788e-18,0.005662948595737324,0.2659700745093211,1.0,8.0,9.0,0.0,0.6541687014499025,0.7324213389777741,0.0,8.624896199461736,0.0,1.4901161193847656e-08,2.9337982014398174e-10,0.0,0.0,0.0,0.0,3.0,0.8028019848187049,4.0,0.0,-0.251894414111457,0.39114271768668196,-0.48966835280800064,0.6142450897284147,-0.5723734093650654,0.534644726785908,0.0
199207,0.5523244994752295,12.0,-12.313955018041888,0.22638618213555833,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.170490160834872e-72,1.0399496179971115e-18,-3.5672112602822827e-19,-0.1450383975239428,0.09085579637400854,1.0,7.0,8.0,0.0,0.9715632222539361,1.0791438565682134,0.0,7.1513560465007515,0.0,1.4901171068578895e-08,2.9400324262396453e-10,0.0,0.0,0.0,0.0,3.0,0.7004158956824708,7.0,0.0,-0.3489557401120149,0.42631839306105107,-0.5414046363566529,0.7739674620237701,-0.5838569460724523,0.779993200187398,0.0
199208,0.4308897524658048,12.0,-12.278194134772809,0.1829984733578737,0.0,0.0,0.0,0.0,1.0,12.0,0.0,9.318166786523477e-67,2.962332732465692e-17,1.1303192012848265e-17,-0.25485075899151843,0.10706659379246582,1.0,6.0,7.0,0.0,0.9181343824218458,1.448369958542293,0.0,5.554089161012161,0.0,1.490148630681829e-08,2.9403862572032235e-10,0.0,0.0,0.0,0.0,2.0,0.6552124324315255,8.0,0.0,-0.39644055225085956,0.5705670028635244,-0.5473256003503764,0.7893481420804075,-0.6126428982099459,0.9289754019334289,0.0
199209,0.485731635826834,12.0,-13.187244958861399,0.19163951228561193,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0597023800460194e-70,1.0481164625978771e-17,-1.2336707234690715e-18,-0.06904219251668886,0.26097188197810534,1.0,5.0,6.0,0.0,0.8577415435854588,1.0715475666651835,0.0,3.9909113146427493,0.0,1.490130992677808e-08,2.9482243923175206e-10,0.0,0.0,0.0,0.0,2.0,0.647203612563451,8.0,0.0,-0.453741801089118,0.6335796023608748,-0.5414931533643983,0.8002120388606944,-0.5951043601638425,0.8351838165212635,0.0
199210,0.4887489254017705,12.0,-12.97157511360811,0.2358626699487581,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0970972867657058e-66,-6.299266382322249e-17,1.0971999476591732e-17,-0.20668840241045067,0.15913752399446238,1.0,4.0,5.0,0.0,0.9456705334923899,1.1942050557558204,0.0,4.875717409574457,0.0,1.4901464424467663e-08,2.950511820579126e-10,0.0,0.0,0.0,0.0,2.0,0.6351905041510395,6.0,0.0,-0.44593235275471294,0.6762433093989205,-0.5358072876048894,0.770827315053531,-0.586806284763141,0.6963424690766307,0.0
