timestamp,F_0,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_40,F_41
199211,0.47266764894170027,12.0,-11.696618660417075,0.4927499449392149,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.917188919420211e-68,3.6265753250771745e-17,1.0370840149891149e-17,-0.46540999476115014,0.7793880027814546,1.0,9.0,1.0,0.0,0.6878385983736426,0.5970672329897697,0.0,0.44659791698640644,0.0,1.490119706265189e-08,2.952619386660397e-10,0.0,0.0,0.0,0.0,1.0,0.47747113697530974,7.0,0.0,-0.15721250792613628,0.9067203327526389,-0.33595957615448196,1.0664047428485588,-0.37769064273566205,0.7874969346426683,0.0
199212,0.7113258188457349,12.0,-10.10848939428822,0.34495667305029165,0.0,0.0,0.0,0.0,1.0,12.0,0.0,8.232803128055011e-68,-4.178625097249997e-17,1.246808187689104e-17,-0.3282891101610643,0.4404197598850281,1.0,8.0,3.0,0.0,0.6303202274982783,1.2644306777846261,0.0,0.30471168652156827,0.0,1.4901161193847656e-08,2.928415122336122e-10,0.0,0.0,0.0,0.0,2.0,0.7158477994329115,6.0,0.0,0.009497235754106239,0.5473533525914341,-0.3788706217770858,0.875417122881219,-0.48576078695866215,0.9245773078853965,0.0
199301,0.7419101071820574,12.0,-9.441838851898359,0.4468392157234294,0.0,0.0,0.0,0.0,1.0,12.0,0.0,5.1414652536352775e-68,6.85513707939918e-17,-5.20672794277122e-18,-0.4789021389989661,0.5958023281476553,1.0,7.0,2.0,0.0,0.7196604529901076,0.7376949309219353,0.0,0.37965136990272086,0.0,1.49011792087572e-08,2.957718393792736e-10,0.0,0.0,0.0,0.0,3.0,0.7308603493709988,5.0,0.0,0.09028205102854812,0.36051105279102197,-0.4134740295321491,0.9122547675245892,-0.4200350169320703,0.7749712760329759,0.0
199302,0.7463301689306449,12.0,-8.938447988398806,0.402309758357971,0.0,0.0,0.0,0.0,1.0,12.0,0.0,8.237949656082686e-69,1.5601290511108272e-16,1.4228025437752916e-18,-0.4598282995429666,0.6154540023406625,1.0,6.0,1.0,0.0,0.5169630876368475,0.702244476723082,0.0,1.3880112058122736,0.0,1.4901188379299778e-08,2.9378810895979715e-10,0.0,0.0,0.0,0.0,3.0,0.740461033386168,6.0,0.0,0.05953209761524477,0.3041992127401002,-0.3173032820313997,0.4478037178958072,-0.44403743564310677,0.5184446698769299,0.0
199303,0.7635828214236281,12.0,-9.014495692290227,0.1373251453978959,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.9735215451509196e-71,-4.53321915634729e-18,2.3435556132651077e-19,-0.3186102264809416,0.42980030305201716,1.0,5.0,12.0,0.0,0.30861045410504595,0.8799420201790406,0.0,0.6755017233294804,0.0,1.4901161193847656e-08,3.834382890681827e-09,0.0,0.0,0.0,0.0,3.0,0.7401638294339802,6.0,0.0,0.07047540909804827,0.3061201723555588,-0.25053965750643487,0.35566090831654984,-0.48313638168441825,0.589283585958566,0.0
199304,0.746576552618516,12.0,-9.851906755727047,0.12736521032924347,0.0,0.0,0.0,0.0,1.0,12.0,0.0,3.539901292172259e-70,-1.6784433210138246e-17,-1.9246818573298212e-18,-0.15570040866656026,0.3715847488897231,1.0,4.0,11.0,0.0,0.5358684679167693,0.2951209657661211,0.0,0.8519135687224734,0.0,1.4901705872687936e-08,2.9041477055218223e-10,0.0,0.0,0.0,0.0,3.0,0.7010235527881915,5.0,0.0,-0.015408068563735732,0.382630649611322,-0.2846510327522634,0.5902416345183049,-0.2951759410344136,0.4102179287195703,0.0
199305,0.7831945890138847,12.0,-11.61192682620474,0.17351348209185224,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.8524718076433285e-68,-2.5122127723947714e-17,-1.9668195200659947e-17,-0.07833361228229388,0.32718416232546677,1.0,3.0,10.0,0.0,0.32746551573692423,0.7718319384081404,0.0,0.3109410522699787,0.0,1.4901161193847656e-08,2.8757559214050086e-10,0.0,0.0,0.0,0.0,3.0,0.7889193442999701,6.0,0.0,-0.05620589456290162,0.25310656258654873,-0.3896891384069092,0.5433217492117505,-0.530926888541411,0.7044163396169882,0.0
199306,0.7246180653333951,12.0,-10.4546746643555,0.3656388666972335,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.761808761491885e-69,2.6526552649872507e-16,6.316742251928814e-18,0.25391857251897615,1.378817098500819,1.0,2.0,9.0,0.0,0.47872639871263956,0.6203923795358416,0.0,0.4675020124975082,0.0,1.4901351630970656e-08,2.9239329434103526e-10,0.0,0.0,0.0,0.0,3.0,0.7653532541144166,6.0,0.0,0.06690510647352525,0.29886472921661905,-0.4977407329462601,0.6628425425920812,-0.5491848876514188,0.7267892357188775,0.0
199307,0.7355440623426684,12.0,-9.058515840044835,0.4418491334101027,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4.3371404029687805e-69,-2.7641457606927567e-16,-1.2558947111049283e-17,0.33275128974725254,0.48143531747816615,1.0,1.0,8.0,0.0,0.5522932375966508,0.4049990453934026,0.0,1.2923932846310262,0.0,1.4901163897209572e-08,2.9527271568199956e-10,0.0,0.0,0.0,0.0,3.0,0.7605919575563563,5.0,0.0,0.20558786475829816,0.3620635237954281,-0.3670963190066242,0.4761735012219896,-0.46852418015743713,0.41770220238531147,0.0
199308,0.8254404671028457,12.0,-6.111969007915488,0.3670487960120159,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.2247332688980696e-68,-2.5228317106262044e-17,1.7788733523434336e-18,-0.28155165480769534,0.40751091465640965,1.0,5.0,7.0,0.0,0.2960720518836252,0.8709997318733959,0.0,1.3111040787518153,0.0,1.4901180167197375e-08,2.9265353929042614e-10,0.0,0.0,0.0,0.0,3.0,0.6357799995688224,4.0,0.0,0.382357958891009,0.5524128823606812,-0.37606548831302516,0.3157793696989386,-0.5907525214192916,0.5131498670441544,0.0
199309,0.8283554760177482,12.0,-4.750568125429977,0.43516879959491916,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.17049016083516e-72,-1.0399496179972594e-18,3.5672112602791396e-19,-0.14503839752401557,0.09085579637402026,1.0,4.0,6.0,0.0,0.47298124885870896,0.7785245918766732,0.0,2.5759627495824824,0.0,1.4901181498118074e-08,2.961638326064172e-10,0.0,0.0,0.0,0.0,3.0,0.6510959809962792,3.0,0.0,0.4467773252901938,0.6960315358038303,-0.454151615583846,0.4043062175169833,-0.5960902108028644,0.6056401145155259,0.0
199310,0.8178264392340956,12.0,-4.590608532771714,0.4172190496413189,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.568024853401004e-122,9.860761315262648e-32,4.437342591868191e-31,-0.3308457711442785,0.35067820103462766,1.0,3.0,5.0,0.0,0.4683967604642137,1.0160356806821125,0.0,6.486137610876264,0.0,1.4901196179070728e-08,2.935167159957372e-10,0.0,0.0,0.0,0.0,3.0,0.6932467112869736,4.0,0.0,0.4041325214217746,0.5512790228231367,-0.4577963157092171,0.4693954986752291,-0.5957120857827153,0.5547512846196164,0.0
199311,0.7586428479062938,12.0,-5.372689525749276,0.40194744630927526,0.0,0.0,0.0,0.0,1.0,12.0,0.0,7.882275948109454e-69,2.018854688411043e-16,-2.1241138019506783e-18,-0.1425434490547005,0.42109994745310386,1.0,2.0,4.0,0.0,0.4971405417212247,0.9633694800484306,0.0,5.166924378031596,0.0,1.4901161193847656e-08,2.9153967300487796e-10,0.0,0.0,0.0,0.0,2.0,0.771378645472224,7.0,0.0,0.2502377494887993,0.30179066652139364,-0.47235156812183304,0.523920682883122,-0.5872598590495964,0.6002557535106369,0.0
199312,0.7646886848578576,12.0,-10.200209139901144,0.31347396626019525,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4.0899963288747555e-69,1.6566284790047568e-16,-3.38435389055863e-18,0.48433041207846084,1.0580737435813266,1.0,1.0,3.0,0.0,0.41470175701502227,0.916426223226046,0.0,2.986789662562605,0.0,1.4901161193847656e-08,2.888342016123578e-10,0.0,0.0,0.0,0.0,2.0,0.680532491658015,8.0,0.0,-0.06198355333155634,0.36934345551881126,-0.4478896937683096,0.4907050089826743,-0.6368440547183807,0.5838417711217192,0.0
199401,0.7104686619895136,12.0,-12.97724498995176,0.2012963015713296,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.4585131090259437e-68,4.99185778838194e-17,-4.869869978180223e-18,-0.25303340678603603,0.4411998659391979,1.0,12.0,2.0,0.0,0.4031479452806943,0.7523022613062679,0.0,1.5274317042578047,0.0,1.4901161193847656e-08,1.0186306822588356e-11,0.0,0.0,0.0,0.0,2.0,0.6807055950112794,8.0,0.0,-0.08439563857562057,0.29808369585155914,-0.4977098492746194,0.4710905014175393,-0.6066903677262404,0.5316639347061499,0.0
199402,0.6701610552397931,12.0,-10.83582826699336,0.27335556104043957,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.50211069415769e-68,1.956359203777989e-16,2.945007868699501e-18,-0.2989836175313455,0.3590082846836491,1.0,11.0,1.0,0.0,0.4625137018674652,0.2823342182032185,0.0,0.1556491909506376,0.0,1.4901383485591384e-08,2.8959477958987643e-10,0.0,0.0,0.0,0.0,2.0,0.6906423091976471,7.0,0.0,0.09530180799228698,0.24586204701978137,-0.4207377773737356,0.6409781223670764,-0.2974179235438767,0.546409137023871,0.0
199403,0.8511200569338181,12.0,-10.078939673207534,0.18019572782459972,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.467867086010586e-68,1.2849755854618927e-16,1.176949574820926e-17,-0.21437910983306832,0.40920517817004143,1.0,10.0,5.0,0.0,0.24435505578888428,0.3187172245781579,0.0,1.4163703261845046,0.0,1.490147238517603e-08,2.883811660987727e-10,0.0,0.0,0.0,0.0,2.0,0.5905431752823038,4.0,0.0,0.24348573598295079,0.4206651043039986,-0.009093565496429609,0.48937599138579313,-0.21694858567341924,0.6339349297851774,0.0
199404,0.8448873042450686,12.0,-4.7742743032084345,0.4559691741017649,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4.218892053688398e-68,2.6504197259829286e-16,-7.247636301100673e-18,-0.0826467082228891,0.24829411960402442,1.0,9.0,4.0,0.0,0.7047477363944401,0.6043967831192113,0.0,1.3623798625710692,0.0,1.4901161193847656e-08,2.9602027405987874e-10,0.0,0.0,0.0,0.0,2.0,0.5847213337893721,3.0,0.0,0.3298599704428239,0.6298039214429588,-0.2553388411090521,0.6708682407001756,-0.21362838613064283,0.6718912905337673,0.0
199405,0.8572153947255632,12.0,-10.923651935785065,0.23247605630633258,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.0028731818558263e-70,6.714524031890805e-18,7.052783313817558e-19,-0.2663535938872573,0.356278006078548,1.0,8.0,12.0,0.0,0.44228179018813163,0.4982747243155931,0.0,3.3171199618246376,0.0,1.4901161193847656e-08,2.8955058471207597e-10,0.0,0.0,0.0,0.0,2.0,0.6502410731080767,4.0,0.0,0.01686126921933833,0.3315879620854726,-0.37993027126580364,0.5458033618957888,-0.3752812143656811,0.6760343996970829,0.0
199406,0.8438959028033095,12.0,-9.06950246832817,0.14346655219948296,0.0,0.0,0.0,0.0,1.0,12.0,0.0,9.928603786187626e-124,1.4791141972893971e-31,2.2186712959340957e-31,-0.29833561331509334,0.44668056540636564,1.0,7.0,11.0,0.0,0.5246962102358228,0.8079415287527262,0.0,1.933555160960161,0.0,1.4901161193847656e-08,1.8108583017681376e-10,0.0,0.0,0.0,0.0,2.0,0.6427225561859701,4.0,0.0,0.12862057947975936,0.4409571358853021,-0.4628800463264481,0.5203786187958855,-0.5885390562635885,0.6302137670778227,0.0
199407,0.8403201216426751,12.0,-8.31518087299287,0.17237377254332123,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0907279265655272e-69,1.0495590996551364e-16,8.189507553550768e-18,-0.002860286126730562,0.3533024270007815,1.0,6.0,12.0,0.0,0.465258369981086,1.2874034825234877,0.0,2.4049285874060238,0.0,0.5173278026486873,0.0,0.0,0.0,0.0,0.0,1.0,0.6582225461491543,4.0,0.0,0.21489231933494196,0.43021388626151386,-0.4718365589540038,0.3949951271936987,-0.6761293434272859,0.6757606350878738,0.0
199408,0.884942127199346,12.0,-5.557196415364191,0.2910297485757629,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.078120457375527e-68,-1.4788609293051516e-16,-3.583642669133502e-18,-0.5368105544458361,0.3128987938505591,1.0,5.0,12.0,0.0,0.5256466493961003,1.379165749986675,0.0,4.49505043275499,0.0,0.5258905709768825,1.9845771713648432e-14,0.0,0.0,0.0,0.0,1.0,0.5390493705123073,4.0,0.0,0.3541356740189576,0.615985854179722,-0.46377000805777235,0.5014439328165905,-0.6752036014080218,0.6119023493839513,0.0
199409,0.859051295971662,12.0,-8.405869267293426,0.26038385177477696,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4.02921160731575e-71,2.2545099078093437e-17,3.559209298786755e-18,0.2598591826455133,0.29270876224444115,1.0,4.0,11.0,0.0,0.3625916598174637,0.5171149244250353,0.0,2.0036077970195563,0.0,1.4901161193847656e-08,2.9183405561619195e-10,0.0,0.0,0.0,0.0,1.0,0.6743655620090584,6.0,0.0,0.23082749735801775,0.3984144404158096,-0.35152023626653206,0.5525974464493685,-0.5169320110975277,0.6789544577296466,0.0
199410,0.9047117124041824,12.0,-7.806320329354312,0.1710520941438909,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.12301294743434e-67,1.903071818230496e-16,1.3256101887457893e-17,-0.11744073713474573,0.2987271681775916,1.0,3.0,10.0,0.0,0.3251424607557053,0.8319450769596533,0.0,2.7796288822857673,0.0,1.4901161335463346e-08,3.325748132138142e-09,0.0,0.0,0.0,0.0,1.0,0.7108239715914935,5.0,0.0,0.272900291123368,0.40758003969582873,-0.2986662811059311,0.5018835926840531,-0.6229527439512248,1.0963487617679692,0.0
