timestamp,TMP__abs_diff_mean__w=365D_6h,TMP__diff_std__w=365D_6h,TMP__entropy__w=365D_6h,TMP__kurtosis__w=365D_6h,TMP__max__w=365D_6h,TMP__mean__w=365D_6h,TMP__mediam__w=365D_6h,TMP__median_abs_deviation__w=365D_6h,TMP__min__w=365D_6h,TMP__skew__w=365D_6h,TMP__slope__w=365D_6h,TMP__std__w=365D_6h,TMP__sum__w=365D_6h,TMP__var__w=365D_6h
1991-01-01,566.18825,709.6109727728119,2.526282007706832,0.5633588279943056,2358.966,1380.7770000000003,1173.652,146.8800000000001,965.736,1.3196187636749683,-0.10091513363613046,402.66025129228893,17950.101000000002,162135.27797076927
1991-02-01,571.1230909090909,722.739520260719,2.445019672942166,0.23682761616047188,2358.966,1400.6735,1192.6599999999999,177.00549999999998,965.736,1.1971248478354517,-0.3791903376455025,412.91673721920023,16808.082000000002,170500.23187575003
1991-03-01,470.5996363636363,654.8570251360848,2.4452145137036445,0.81693190720486,2358.966,1369.7099166666667,1191.7534999999998,139.80200000000002,965.736,1.4496786730472646,-0.37155452672818473,407.3015494508662,16436.518999999997,165894.5521850764
1991-04-01,402.6405454545454,600.4933648785034,2.454194759052022,3.6934581476865773,2358.966,1318.6254999999999,1191.7534999999998,139.80200000000002,965.736,2.041811922942,0.25079383772002817,349.5130402759197,15823.506,122159.36532291665
1991-05-01,388.97999999999996,597.8961057762294,2.4546854204040702,2.9641197274524966,2358.966,1348.0061666666666,1259.022,167.40200000000004,965.736,1.79124574478837,0.10401634434954662,350.7555476099257,16176.073999999999,123029.45417913888
1991-06-01,394.78136363636355,599.9416641400566,2.4544828392557356,3.1068057345983213,2358.966,1340.5639999999999,1251.5725,167.40200000000004,965.736,1.851812631963679,0.06586705269100133,350.92853568473635,16086.768,123150.83715783329
1991-07-01,434.28609090909083,614.5282046564241,2.4527089742230497,1.4471453222165263,2358.966,1387.119,1298.9265,178.39049999999997,965.736,1.368410221455558,0.5165110603416744,367.41036848847006,16645.428,134990.37887283333
1991-08-01,528.1441818181818,718.0398352658517,2.4200925095419126,1.4887807594474607,3123.104,1550.0969166666664,1386.0525,245.77150000000006,965.736,1.5403702506950172,1.099274991160888,596.2729232733193,18601.162999999997,355541.3990289097
1991-09-01,638.3338181818181,885.8862687023404,2.419361175956655,1.5300295794965146,3123.104,1541.8754166666665,1347.712,207.43100000000004,965.736,1.5686719677752023,0.43833097243967295,597.754813076741,18502.504999999997,357310.81655640964
1991-10-01,557.0046363636363,794.0893490528049,2.4281732088565406,1.2506794950031352,3123.104,1618.7021666666662,1427.3885,287.1075000000001,1026.772,1.4371962502065738,-0.19979474057701552,577.6770926467532,19424.425999999996,333710.8233688055
1991-11-01,549.9955,769.5175392871532,2.5114709489887943,1.689492648551493,3123.104,1603.014461538461,1414.762,265.125,1026.772,1.5552770175518342,-0.4002618096233689,557.668368422504,20839.187999999995,310994.0091390177
1991-12-01,491.81200000000007,717.059032137914,2.438398319815085,3.719747659900978,3123.104,1575.5199166666664,1440.2455,141.31899999999996,1026.772,2.046073105981126,0.5163463748524503,519.7469097510278,18906.238999999998,270136.850195743
1992-01-01,468.77808333333337,690.3867186995582,2.5206847004806168,4.365800056773892,3123.104,1557.5212307692307,1414.762,123.28499999999985,1026.772,2.180384661747144,0.3065578336768047,503.2340656362533,20247.775999999998,253244.5248167929
1992-02-01,500.2247272727272,720.442962377423,2.444020282093079,4.304961427591584,3123.104,1601.7503333333334,1440.2455,125.28300000000002,1149.637,2.257618351654451,0.16692225458992715,498.91628510307766,19221.004,248917.4595410555
1992-03-01,482.88072727272714,717.8363054412915,2.4453700358890624,4.471519418550141,3123.104,1608.3318333333334,1440.2455,119.09000000000003,1216.229,2.3180114280640858,-0.1702224626789809,493.5877457515926,19299.982,243628.8627561388
1992-04-01,508.24227272727256,725.153682154353,2.4458482513668693,4.425407466769875,3123.104,1615.678083333333,1469.5845,139.43499999999995,1216.229,2.2967312682321253,0.019336699450999695,492.0643371624043,19388.136999999995,242127.31190707628
1992-05-01,514.5003636363637,727.4533895343113,2.4432085872830447,4.279426425962344,3123.104,1592.9870833333334,1401.905,150.8845,1216.229,2.2685016909613536,-0.030478281843192002,501.9293501100625,19115.845,251933.0725019097
1992-06-01,509.3225454545454,724.1965678565728,2.4456833247013887,4.161183165137788,3123.104,1624.864833333333,1484.3229999999999,177.62400000000002,1216.229,2.2070796495950185,-0.05440686697606319,493.8504295630802,19498.378,243888.24677963884
1992-07-01,391.2016363636363,582.9022634573505,2.445736135682239,4.504793625982955,3123.104,1612.3845,1484.3229999999999,154.17349999999988,1216.229,2.307342362510181,-0.48110469584106064,491.90520945139076,19348.613999999998,241970.7350854166
1992-08-01,256.9162,305.0334616966473,2.389412261242876,-0.4943131070572897,1887.657,1475.0463636363636,1414.762,142.18000000000006,1216.229,0.5825939648974067,0.1666724260068767,193.97657137034625,16225.51,37626.91024059503
1992-09-01,256.72118181818183,298.3629004973198,2.474789768157391,-0.9513580277133857,1887.657,1508.4037500000002,1484.3229999999999,154.17349999999988,1216.229,0.44833665196718575,0.3500865340866551,216.17400829506346,18100.845,46731.20186235416
1992-10-01,250.3481,308.0133473839892,2.3883147045582844,-0.7848485954772753,1875.335,1458.9475454545454,1414.762,162.64699999999993,1216.229,0.5121284408085056,-0.13463677989654801,203.71886206836555,16048.422999999999,41501.374762429754
