timestamp,TMP__abs_diff_mean__w=365D_6h,TMP__diff_std__w=365D_6h,TMP__entropy__w=365D_6h,TMP__kurtosis__w=365D_6h,TMP__max__w=365D_6h,TMP__mean__w=365D_6h,TMP__mediam__w=365D_6h,TMP__median_abs_deviation__w=365D_6h,TMP__min__w=365D_6h,TMP__skew__w=365D_6h,TMP__slope__w=365D_6h,TMP__std__w=365D_6h,TMP__sum__w=365D_6h,TMP__var__w=365D_6h
1991-01-01,2435.5720000000006,2677.5633665938813,2.554434370238203,0.10453854230773363,16948.455,12834.910923076928,12726.357,971.5169999999998,9565.822,0.5942869670372265,-0.3117076519527809,1878.8712286966536,166853.842,3530157.094024073
1991-02-01,2284.445545454546,2544.316085208365,2.4756693509131775,1.2321556699894227,16948.455,12583.419916666668,12517.8195,853.3274999999994,9565.822,0.8190927775302601,-0.07175571934624382,1732.661654764497,151001.03900000002,3002116.4098912445
1991-03-01,1956.4670000000003,2296.364850872198,2.4728030167341752,0.46292850867253055,16948.455,12384.611916666667,12517.8195,928.2404999999999,9368.18,0.5191328087401207,-0.24826987016001514,1940.715235685522,148615.343,3766375.626021911
1991-04-01,2556.779636363637,3153.765850539478,2.468931642082099,-0.49317208906139953,16948.455,12721.875750000001,12683.4365,1018.9444999999996,9368.18,0.45647039255292027,0.25836137544445076,2290.8749345390265,152662.50900000002,5248107.965699189
1991-05-01,2554.8491818181824,3152.585266905453,2.4678508673008945,-0.8796348321604199,16948.455,12875.22425,12683.4365,1415.63,9368.18,0.2995433995314271,0.2960428660745301,2386.039694831414,154502.691,5693185.425311189
1991-06-01,2684.4061818181826,3268.9441595566336,2.4679585116364384,-0.8667460660352311,16948.455,12888.286833333332,12683.4365,1415.63,9368.18,0.28883039756828544,-0.12705911167379885,2380.0174609369933,154659.44199999998,5664483.114364973
1991-07-01,2817.015272727273,3363.6575650102964,2.4669778163589147,-1.1327420688345038,16948.455,13029.61475,12683.4365,2129.237,9368.18,0.16198004241985003,0.31482839753102354,2466.1627914671453,156355.377,6081958.914017023
1991-08-01,2767.710363636364,3344.882910638741,2.465718542077703,-1.3019552041296487,16948.455,13444.095666666666,13269.161,2186.2655000000004,9368.18,-0.11755297298989836,0.2312404275406134,2608.966060998921,161329.14800000002,6806703.907444225
1991-09-01,3051.4057272727277,3580.298093405842,2.4652951789129007,-1.3568251801129174,16948.455,13346.195000000002,12683.4365,2543.429,9368.18,-0.01000277324412157,-0.00027288350368433835,2627.7291729175595,160154.34000000003,6904960.606202002
1991-10-01,2781.318909090909,3322.9323545154243,2.465715982423933,-1.3040973947903223,16948.455,13484.933250000002,13515.866,2186.2655000000004,9368.18,-0.16322960467177042,-0.175491748362904,2613.230364568189,161819.19900000002,6828972.93830119
1991-11-01,2824.3863333333334,3289.679897407054,2.5452498000758093,-1.3884556540891182,16948.455,13268.862461538463,13057.591,2226.303,9368.18,0.0036523975136769885,-0.37008930902551296,2619.905791279398,172495.21200000003,6863906.355179327
1991-12-01,2689.5353636363634,3249.967260602708,2.4662036224738735,-1.3031648590008003,16773.523,12907.877,12355.640500000001,2234.241000000001,9368.18,0.17125632898044643,0.13692102444030144,2497.1426946872703,154894.524,6235721.637630002
1992-01-01,2552.120166666666,3128.5471409648185,2.546989311338647,-1.2089964292745583,16773.523,12789.179153846153,12305.923,1668.217999999999,9368.18,0.29748470502869523,0.041556861411356304,2434.157120361469,166259.329,5925120.886606438
1992-02-01,2643.841727272727,3229.508783338146,2.4666931241124,-1.2608918629796635,16773.523,12945.663833333334,12355.640500000001,2234.241000000001,9368.18,0.15477317390610135,0.21312837712341137,2469.927943605975,155347.966,6100544.04660564
1992-03-01,2021.566909090909,2337.0830347768137,2.4714630211911053,-1.3344830231474063,16773.523,13178.578416666665,12355.640500000001,1584.8279999999995,10676.013,0.4370377611092596,-0.3558607216861956,2179.568355920099,158142.941,4750518.2181282425
1992-04-01,1995.1373636363633,2366.9238852789285,2.474158328677192,-0.8619799557124046,16598.021,12790.572,12211.6845,1346.713999999999,10676.013,0.7010828809396478,-0.20121448898890607,1901.7975337714054,153486.864,3616833.8594589997
1992-05-01,1774.3411818181814,2179.778140882209,2.474953671400162,0.08365790668153616,16598.021,12462.906583333337,11989.4655,907.8114999999998,10676.013,1.1335639514263682,-0.05257630052223645,1799.6219109471049,149554.87900000004,3238639.0223609097
1992-06-01,1642.5287272727269,2001.9989478203693,2.4750349365003155,-0.18346890772846658,16598.021,12575.309833333333,12211.6845,1142.4340000000002,10676.013,0.9531365773031854,-0.135670268322981,1800.670691132466,150903.718,3242414.9379034727
1992-07-01,1643.753454545454,2002.9217205785908,2.475843998540521,0.17073505984307236,16598.021,12513.145583333333,12211.6845,1142.4340000000002,10676.013,1.0053171349083934,-0.12411708600681973,1717.0233152455278,150157.747,2948169.065096743
1992-08-01,1378.9189999999994,1599.818129954964,2.3926880310763483,-0.8900165502001043,14537.923,12141.793272727273,12117.446,1092.8780000000006,10676.013,0.5873019391495566,0.18137607394422994,1249.5415045293498,133559.726,1561353.971541471
1992-09-01,1417.033454545454,1632.3072844407177,2.4800622007417106,-0.8684443001605162,14537.923,12191.622583333332,12211.6845,986.2359999999999,10676.013,0.48253330806172207,0.035253105354226585,1207.705967001037,146299.471,1458553.7027299094
1992-10-01,1070.8701999999998,1236.220734368729,2.3934882385460714,-0.41721538286542303,14537.923,12061.042909090907,12117.446,879.5939999999991,10676.013,0.6276521311181054,0.1850926933116323,1141.6357322337146,132671.47199999998,1303332.14511281
